Loss,Recall,Precision
0.55682015,0.60583943,0.65873015
0.3717262,0.6703297,0.7922078
0.45546362,0.8014184,0.904
0.19804838,0.82229966,0.8939394
0.56170523,0.8550186,0.94650203
0.36590827,0.85,0.9482072
0.26314503,0.89568347,0.96511626
0.043505292,0.8722628,0.9755102
0.26257378,0.9097473,0.9655172
0.22667147,0.9309091,0.96603775
0.02511103,0.9530686,0.96703297
0.18793643,0.9496403,0.98876405
0.10799833,0.9375,0.98455596
0.103368476,0.95714283,0.9925926
0.036094315,0.9669118,0.98501873
0.12625924,0.95849055,0.9921875
0.15992056,0.98892987,0.9925926
0.039950147,1.0,0.9962406
0.20261624,0.99635035,1.0
0.023738405,0.9893617,0.99642855
